,Lng,Lat,Cid,tradeTime,followers,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
97134,116.44578500000001,40.077726,1111027380050,20121221,1,225.0,157.16,3.0,1,1,2.0,18,1.0,2003.0,1,2,0.33299999999999996,1.0,0.0,0.0,6,36411.0
36746,116.29809399999999,39.95077,1111027374627,20160925,10,1485.0,171.81,3.0,2,1,2.0,17,4.0,2003.0,4,6,1.0,1.0,0.0,1.0,8,92132.0
277079,116.565327,40.069623,1111027379494,20130228,2,350.0,182.65,3.0,2,1,2.0,4,4.0,2004.0,1,6,0.5,0.0,1.0,1.0,13,51223.0
66062,116.22028300000001,40.043636,1111027376008,20170319,39,644.5,89.3,2.0,1,1,1.0,8,3.0,2010.0,4,6,0.5,1.0,0.0,0.0,8,63444.0
264397,116.287719,39.931907,1111027376896,20160116,6,482.0,85.8,2.0,1,1,1.0,6,4.0,1998.0,3,2,0.5,0.0,1.0,0.0,8,72311.0
106895,116.34386200000002,40.074863,1111027377721,20150318,5,240.0,80.0,2.0,1,1,1.0,6,4.0,2004.0,4,2,0.33299999999999996,0.0,1.0,1.0,6,43544.0
235539,116.37794199999999,39.847498,1111027382744,20160423,240,229.0,62.18,2.0,1,1,1.0,16,4.0,2009.0,4,6,0.162,1.0,1.0,1.0,2,57950.0
32807,116.279545,40.144739,1111027378433,20160906,20,189.5,53.23,1.0,1,1,1.0,6,4.0,1999.0,1,2,0.33299999999999996,0.0,1.0,0.0,6,38712.0
306807,116.362351,39.925,1111027374170,20141203,1,265.0,40.1,1.0,1,1,1.0,20,1.0,1992.0,4,6,0.2,1.0,1.0,1.0,10,103031.0
17641,116.564943,39.927446999999994,1111027378381,20160822,51,330.0,63.2,1.0,1,1,1.0,6,4.0,2003.0,3,2,0.5,0.0,0.0,1.0,7,53315.0
288551,116.704315,39.92475,1111027378251,20140112,22,275.0,120.36,3.0,1,1,2.0,6,4.0,2002.0,1,2,0.5,0.0,1.0,0.0,11,46086.0
94795,116.415742,40.077796,1111027380053,20120404,0,130.0,97.12,1.0,0,0,1.0,32,1.0,2003.0,1,2,3.0,1.0,1.0,1.0,6,37661.0
59055,116.505098,39.918019,1111027373686,20170213,40,760.0,94.09,2.0,1,1,1.0,16,4.0,2005.0,4,6,0.5,1.0,1.0,1.0,7,82664.0
44110,116.41718,39.851679,1111027374516,20161129,78,350.0,59.99,1.0,1,1,1.0,20,1.0,2000.0,4,6,0.25,1.0,1.0,1.0,2,48814.0
28100,116.354542,39.738296000000005,1111027379275,20160915,33,307.0,103.59,3.0,1,1,1.0,6,4.0,1999.0,3,2,0.5,0.0,1.0,0.0,4,31774.0
181432,116.610993,39.895821999999995,1111027379532,20151127,3,152.0,57.93,2.0,0,1,1.0,6,4.0,1988.0,4,2,0.5,0.0,1.0,0.0,7,43406.0
288060,116.704315,39.92475,1111027378251,20130819,0,245.0,120.84,3.0,2,1,2.0,10,3.0,2004.0,1,6,0.16699999999999998,1.0,1.0,0.0,11,46086.0
130178,116.43056200000001,40.045549,1111027376255,20120930,0,168.0,64.64,1.0,1,1,1.0,15,4.0,2004.0,1,6,0.33299999999999996,1.0,1.0,0.0,7,52306.0
254961,116.351155,40.045361,1111027378422,20150422,39,256.0,94.69,2.0,2,1,1.0,16,4.0,2003.0,3,6,0.25,1.0,1.0,0.0,8,61080.0
144351,116.475407,39.852043,1111027378192,20130831,0,265.5,89.74,2.0,1,1,1.0,6,4.0,2003.0,1,2,0.5,0.0,1.0,0.0,7,42812.0
144570,116.47638,39.875690999999996,1111027378305,20130909,3,405.0,101.61,2.0,1,1,1.0,20,3.0,2005.0,1,6,0.33299999999999996,1.0,1.0,1.0,7,65820.0
84071,116.332577,39.760321000000005,1111041178256,20170922,46,630.0,104.47,3.0,1,1,1.0,28,4.0,2013.0,4,6,0.5,1.0,0.0,1.0,4,59179.0
145251,116.60911599999999,39.903738,1111027382236,20131023,4,270.0,91.61,2.0,1,1,1.0,18,3.0,2009.0,1,6,0.5,1.0,0.0,0.0,7,52904.0
185299,116.52013000000001,39.936383,1111027374971,20160406,45,787.0,145.87,3.0,2,1,2.0,15,4.0,2006.0,1,6,0.5,1.0,1.0,1.0,7,70693.0
300093,116.37853700000001,39.879671,1111027378981,20130519,3,479.0,88.83,2.0,1,1,1.0,17,3.0,2000.0,1,6,0.5,1.0,1.0,1.0,10,93400.0
